Year,Month,Day,Station,PKey
2022,01,01,FOP1,20220101FOP1
2022,01,01,KABR,20220101KABR
2022,01,01,KABX,20220101KABX
2022,01,01,KAKQ,20220101KAKQ
2022,01,01,KAMA,20220101KAMA
2022,01,01,KAMX,20220101KAMX
2022,01,01,KAPX,20220101KAPX
2022,01,01,KARX,20220101KARX
2022,01,01,KATX,20220101KATX
2022,01,01,KBBX,20220101KBBX
2022,01,01,KBGM,20220101KBGM
2022,01,01,KBHX,20220101KBHX
2022,01,01,KBIS,20220101KBIS
2022,01,01,KBLX,20220101KBLX
2022,01,01,KBMX,20220101KBMX
2022,01,01,KBOX,20220101KBOX
2022,01,01,KBRO,20220101KBRO
2022,01,01,KBUF,20220101KBUF
2022,01,01,KBYX,20220101KBYX
2022,01,01,KCAE,20220101KCAE
2022,01,01,KCBW,20220101KCBW
2022,01,01,KCBX,20220101KCBX
2022,01,01,KCCX,20220101KCCX
2022,01,01,KCLE,20220101KCLE
2022,01,01,KCLX,20220101KCLX
2022,01,01,KCRP,20220101KCRP
2022,01,01,KCXX,20220101KCXX
2022,01,01,KCYS,20220101KCYS
2022,01,01,KDAX,20220101KDAX
2022,01,01,KDDC,20220101KDDC
2022,01,01,KDFX,20220101KDFX
2022,01,01,KDGX,20220101KDGX
2022,01,01,KDIX,20220101KDIX
2022,01,01,KDLH,20220101KDLH
2022,01,01,KDMX,20220101KDMX
2022,01,01,KDOX,20220101KDOX
2022,01,01,KDTX,20220101KDTX
2022,01,01,KDVN,20220101KDVN
2022,01,01,KDYX,20220101KDYX
2022,01,01,KEAX,20220101KEAX
2022,01,01,KEMX,20220101KEMX
2022,01,01,KENX,20220101KENX
2022,01,01,KEOX,20220101KEOX
2022,01,01,KEPZ,20220101KEPZ
2022,01,01,KESX,20220101KESX
2022,01,01,KEVX,20220101KEVX
2022,01,01,KEWX,20220101KEWX
2022,01,01,KEYX,20220101KEYX
2022,01,01,KFCX,20220101KFCX
2022,01,01,KFDR,20220101KFDR
2022,01,01,KFDX,20220101KFDX
2022,01,01,KFFC,20220101KFFC
2022,01,01,KFSD,20220101KFSD
2022,01,01,KFSX,20220101KFSX
2022,01,01,KFTG,20220101KFTG
2022,01,01,KFWS,20220101KFWS
2022,01,01,KGGW,20220101KGGW
2022,01,01,KGJX,20220101KGJX
2022,01,01,KGLD,20220101KGLD
2022,01,01,KGRB,20220101KGRB
2022,01,01,KGRK,20220101KGRK
2022,01,01,KGRR,20220101KGRR
2022,01,01,KGSP,20220101KGSP
2022,01,01,KGWX,20220101KGWX
2022,01,01,KGYX,20220101KGYX
2022,01,01,KHDX,20220101KHDX
2022,01,01,KHGX,20220101KHGX
2022,01,01,KHNX,20220101KHNX
2022,01,01,KHPX,20220101KHPX
2022,01,01,KHTX,20220101KHTX
2022,01,01,KICT,20220101KICT
2022,01,01,KICX,20220101KICX
2022,01,01,KILN,20220101KILN
2022,01,01,KILX,20220101KILX
2022,01,01,KIND,20220101KIND
2022,01,01,KINX,20220101KINX
2022,01,01,KIWA,20220101KIWA
2022,01,01,KIWX,20220101KIWX
2022,01,01,KJAX,20220101KJAX
2022,01,01,KJGX,20220101KJGX
2022,01,01,KJKL,20220101KJKL
2022,01,01,KLBB,20220101KLBB
2022,01,01,KLCH,20220101KLCH
2022,01,01,KLGX,20220101KLGX
2022,01,01,KLIX,20220101KLIX
2022,01,01,KLNX,20220101KLNX
2022,01,01,KLOT,20220101KLOT
2022,01,01,KLRX,20220101KLRX
2022,01,01,KLSX,20220101KLSX
2022,01,01,KLTX,20220101KLTX
2022,01,01,KLVX,20220101KLVX
2022,01,01,KLWX,20220101KLWX
2022,01,01,KLZK,20220101KLZK
2022,01,01,KMAF,20220101KMAF
2022,01,01,KMAX,20220101KMAX
2022,01,01,KMBX,20220101KMBX
2022,01,01,KMHX,20220101KMHX
2022,01,01,KMKX,20220101KMKX
2022,01,01,KMLB,20220101KMLB
2022,01,01,KMOB,20220101KMOB
2022,01,01,KMPX,20220101KMPX
2022,01,01,KMQT,20220101KMQT
2022,01,01,KMRX,20220101KMRX
2022,01,01,KMSX,20220101KMSX
2022,01,01,KMTX,20220101KMTX
2022,01,01,KMUX,20220101KMUX
2022,01,01,KMVX,20220101KMVX
2022,01,01,KMXX,20220101KMXX
2022,01,01,KNKX,20220101KNKX
2022,01,01,KNQA,20220101KNQA
2022,01,01,KOAX,20220101KOAX
2022,01,01,KOHX,20220101KOHX
2022,01,01,KOKX,20220101KOKX
2022,01,01,KOTX,20220101KOTX
2022,01,01,KPAH,20220101KPAH
2022,01,01,KPBZ,20220101KPBZ
2022,01,01,KPDT,20220101KPDT
2022,01,01,KPOE,20220101KPOE
2022,01,01,KPUX,20220101KPUX
2022,01,01,KRAX,20220101KRAX
2022,01,01,KRGX,20220101KRGX
2022,01,01,KRIW,20220101KRIW
2022,01,01,KRLX,20220101KRLX
2022,01,01,KRTX,20220101KRTX
2022,01,01,KSFX,20220101KSFX
2022,01,01,KSGF,20220101KSGF
2022,01,01,KSHV,20220101KSHV
2022,01,01,KSJT,20220101KSJT
2022,01,01,KSOX,20220101KSOX
2022,01,01,KSRX,20220101KSRX
2022,01,01,KTBW,20220101KTBW
2022,01,01,KTFX,20220101KTFX
2022,01,01,KTLH,20220101KTLH
2022,01,01,KTLX,20220101KTLX
2022,01,01,KTWX,20220101KTWX
2022,01,01,KTYX,20220101KTYX
2022,01,01,KUDX,20220101KUDX
2022,01,01,KUEX,20220101KUEX
2022,01,01,KVAX,20220101KVAX
2022,01,01,KVBX,20220101KVBX
2022,01,01,KVNX,20220101KVNX
2022,01,01,KVTX,20220101KVTX
2022,01,01,KVWX,20220101KVWX
2022,01,01,KYUX,20220101KYUX
2022,01,01,PABC,20220101PABC
2022,01,01,PACG,20220101PACG
2022,01,01,PAEC,20220101PAEC
2022,01,01,PAHG,20220101PAHG
2022,01,01,PAIH,20220101PAIH
2022,01,01,PAKC,20220101PAKC
2022,01,01,PAPD,20220101PAPD
2022,01,01,PHKI,20220101PHKI
2022,01,01,PHKM,20220101PHKM
2022,01,01,PHMO,20220101PHMO
2022,01,01,PHWA,20220101PHWA
2022,01,01,RKJK,20220101RKJK
2022,01,01,RKSG,20220101RKSG
2022,01,01,RODN,20220101RODN
2022,01,01,TADW,20220101TADW
2022,01,01,TBNA,20220101TBNA
2022,01,01,TBOS,20220101TBOS
2022,01,01,TBWI,20220101TBWI
2022,01,01,TCLT,20220101TCLT
2022,01,01,TCMH,20220101TCMH
2022,01,01,TCVG,20220101TCVG
2022,01,01,TDAL,20220101TDAL
2022,01,01,TDAY,20220101TDAY
2022,01,01,TDCA,20220101TDCA
2022,01,01,TDEN,20220101TDEN
2022,01,01,TDFW,20220101TDFW
2022,01,01,TDTW,20220101TDTW
2022,01,01,TEWR,20220101TEWR
2022,01,01,TFLL,20220101TFLL
2022,01,01,THOU,20220101THOU
2022,01,01,TIAD,20220101TIAD
2022,01,01,TIAH,20220101TIAH
2022,01,01,TICH,20220101TICH
2022,01,01,TIDS,20220101TIDS
2022,01,01,TJFK,20220101TJFK
2022,01,01,TJUA,20220101TJUA
2022,01,01,TLAS,20220101TLAS
2022,01,01,TLVE,20220101TLVE
2022,01,01,TMCI,20220101TMCI
2022,01,01,TMCO,20220101TMCO
2022,01,01,TMDW,20220101TMDW
2022,01,01,TMEM,20220101TMEM
2022,01,01,TMIA,20220101TMIA
2022,01,01,TMKE,20220101TMKE
2022,01,01,TMSP,20220101TMSP
2022,01,01,TMSY,20220101TMSY
2022,01,01,TOKC,20220101TOKC
2022,01,01,TORD,20220101TORD
2022,01,01,TPBI,20220101TPBI
2022,01,01,TPHL,20220101TPHL
2022,01,01,TPHX,20220101TPHX
2022,01,01,TPIT,20220101TPIT
2022,01,01,TRDU,20220101TRDU
2022,01,01,TSDF,20220101TSDF
2022,01,01,TSLC,20220101TSLC
2022,01,01,TSTL,20220101TSTL
2022,01,01,TTPA,20220101TTPA
2022,01,01,TTUL,20220101TTUL
2022,01,02,FOP1,20220102FOP1
2022,01,02,KABR,20220102KABR
2022,01,02,KABX,20220102KABX
2022,01,02,KAKQ,20220102KAKQ
2022,01,02,KAMA,20220102KAMA
2022,01,02,KAMX,20220102KAMX
2022,01,02,KAPX,20220102KAPX
2022,01,02,KARX,20220102KARX
2022,01,02,KATX,20220102KATX
2022,01,02,KBBX,20220102KBBX
2022,01,02,KBGM,20220102KBGM
2022,01,02,KBHX,20220102KBHX
2022,01,02,KBIS,20220102KBIS
2022,01,02,KBLX,20220102KBLX
2022,01,02,KBMX,20220102KBMX
2022,01,02,KBOX,20220102KBOX
2022,01,02,KBRO,20220102KBRO
2022,01,02,KBUF,20220102KBUF
2022,01,02,KBYX,20220102KBYX
